Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Wilson's Storm Petrel,Oceanites oceanicus,european,brown,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.","This is an abundant species, but most humans will never see one because they live mostly at sea.",,,,6,wild,1,38,,,X,1,,2,,,,,,,3,X,X,X,X,X,X,X,,,X,,,,,,X,X,,X,,,,X,,,X,,,,X,X
Wood Duck,Aix sponsa,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",Wood ducks nest in tree cavities in wooded areas.,,,,4,cavity,4,76,X,,X,,2,,1,,,,,,3,X,X,,,,,,,,,,,X,,X,X,,,,,,X,X,,,,,,X,,
Wood Stork,Mycteria americana,core,white,Draw 2 new bonus cards and keep 1.,The wood stork was removed from the US endangered species list in 2014.,,,X,6,platform,2,155,,,X,,,1,,1,,1,,,3,X,X,X,,,,,,,,,,,,,X,,,X,,,X,,X,,X,,X,,X,
Wrybill,Anarhynchus frontalis,oceania,white,Look through all discarded bonus cards. Keep 1 of them.,The wrybill’s beak always curves to the right; the shape may aid it in foraging under rocks.,,,X,4,ground,2,49,,,X,1,,1,,,,,,,2,,,,,,,X,X,,,,,,,,,X,,X,,,,,,,,,,,X,
Yellow-Bellied Sapsucker ,Sphyrapicus varius,core,brown,Gain 1 [invertebrate] from the supply.,"Sapsuckers drill rows of holes in trees, then they lap up the sap and the insects it attracts.",,,,3,cavity,3,41,X,,,1,,,1,,,,,,2,X,X,,,,,,X,,,X,X,,,,,,,,,X,,X,,,,,,X,,
Yellow-Billed Cuckoo,Coccyzus americanus,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a [bowl] nest.",Yellow-billed cuckoos lay their eggs in other birds' nests when food is abundant.,,,,5,platform,2,46,X,,,2,,,,,,1,,,3,X,X,X,,,,,X,,,X,,,,,X,,,,,X,,,X,,X,,,,,
Yellow-Breasted Chat ,Icteria virens,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","Because these birds like dense thickets, they are more often heard than seen.",,,,5,bowl,3,25,X,X,X,1,,,2,,,,,,3,X,X,,,,,,X,,,X,,X,,,X,,,,,,,,,X,,,,X,,X
Yellow-Headed Blackbird ,Xanthocephalus xanthocephalus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","These blackbirds form huge flocks, especially in winter.",,X,,4,bowl,3,38,,,X,1,1,,,,,,,,2,X,X,,,,,,X,,,X,,,X,X,,,,,,,,,,,,,,,X,X
Yellow-Rumped Warbler ,Setophaga coronata,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","Birders sometimes call these birds ""butterbutts.""",,X,,1,bowl,4,23,X,,,1,1,,1,,,,/,,1,X,X,,,,,,X,,,X,X,,X,X,,,,,,X,,,,X,,,,X,,X
Yellowhammer,Emberiza citrinella,european,teal,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",The yellowhammer’s song influenced works by Robert Burns and Beethoven.,,,,2,ground,3,26,X,X,,,2,,,,,,,,2,,,,X,X,,,,,,X,X,X,,X,,X,,,,,,,,X,,,,,,
